"Style Number","Alternate Style Number (usually other color)","Catalog Number","Delivery Ex-Works","Delivery Last Update","List Price US$","Insulator Type","Color","Outline Drawing","Download Drawing","Apparatus","Standard","Bushing Type","Oil Indication","Application","Mounting Position","Connection Type","Current Version","Voltage Class","kV BIL","Max kV L-G","Cantilever Design Test Rating Upper Value","Cantilever Design Test Rating Lower Value","Approximate Capacitance C1","Approximate Capacitance C2","Current Rating Draw Lead","Bottom Connected","Oil Circuit Breaker","Lower End Length (L)","C.T. Pocket Transformer","C.T. Pocket Oil Circuit Breaker","Exposable Length Transformer (EL)","Exposable Length Oil Circuit Breaker (EL)","Max. Dia. From 1"" below Flange to Lower End of Bushing (D)","Upper End Length (B)","Minimum Creep","Arcing Distance","Lowest High Voltage (LHV)","Cable Height/Pin Height for AB Bushings (CH)","Maximum Altitude","Approximate Weight","Top End Terminal - Thread Dia and Class or number of Pads and Holes Per Pad","Top End Terminal - Length and Type or Dia, and Type of Holes","Top End Terminal - Thread Plating","Top End Terminal - Top Terminal Comments","Bottom End Terminal - Terminal Type","Bottom End Terminal - Min Outside Diameter","Bottom End Terminal - Bottom Terminal Comments","Max Inside Diameter (P)","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","Epoxy Coated Shield and Terminal Kit","Flange Mounting Comments","Special Features"
"001D0100WG","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","","RJ","","Oil to Oil","vertical/horizontal","Bottom","1.0","1.2 kV","45 kV","0.8 kV","","","pfds.","pfds.","","1000 Amps","","6 in.","","","","","3.062 in.","7.625 in.","2.375 in.","2.375 in.","4.125 in.","","3300 ft.","15 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.000-14UN-2Ax2.375 x","Min Outside Diameter","Bottom Terminal Comments","1.000-14UN-2Ax1.250","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.438 in.","Epoxy Coated Shield and Terminal Kit","Gasket Groove in Mtg. Flange. 0.125"" deep",""
"001D0171WA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","RJ","","Oil to Air","horizontal","Bottom","1.0","1.2 kV","45 kV","0.7 kV","","","pfds.","pfds.","","1710 Amps","","6.721 in.","0 in.","","0 in.","","3.25 in.","7.279 in.","2.5 in.","2.5 in.","","","3300 ft.","28 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500 x 2.75 usable thread x 12 UN - 2A","Min Outside Diameter","Bottom Terminal Comments","1.5 x 2.50 usable thread","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","","Epoxy Coated Shield and Terminal Kit","",""
"002D0171AA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","RJ","","Oil to Air","horizontal","Bottom","2.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","1710 Amps","","10.938 in.","","","","","3.09 in.","12.062 in.","6.25 in.","6.25 in.","8.156 in.","","3300 ft.","23 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.50-12x3.0 Usable Thread x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","1.5-12x2.938 Usable Thread","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.125 in.","Epoxy Coated Shield and Terminal Kit","",""
"002J0500HA","","W01B094BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","","IEEE","A","","Oil to Air","vertical/horizontal","","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","5000 Amps","","12.25 in.","0 in.","","0 in.","","5.031 in.","10.25 in.","6 in.","4 in.","","","10000 ft.","58 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2 Blades, (6) .688 dia. Holes, SP x 6","Min Outside Diameter","Bottom Terminal Comments","1 BLADE, (3) .688 DIA HOLES, SP","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.219 in.","Epoxy Coated Shield and Terminal Kit","(4) 0.625 Holes-8.500 BC",""
"002J1000AD","","1B096BB","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical/horizontal","Bottom","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","11.25 in.","","","","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","112 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Bld-4 w/ 8-0.688Holes, 1.750 x 1.750 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-2 w/ 4-0.688 Holes 1.750x2.25 In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","",""
"002J1000BA","","W01B557BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","0 to 20 deg. from vertical","Bottom","2.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","23.078 in.","","","18 in.","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","130 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","(4)bld (4).562 hole/bld, SP x 4","Min Outside Diameter","Bottom Terminal Comments","(4).688 hole (2) blade","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","(4) .625 Dia. Holes - 11.500 Dia. BC",""
"002J1000CA","","1B552BB","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical","Bottom","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","23.078 in.","","","18 in.","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","139 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Bld-4 w/ 8-0.688Holes, 1.750 x 1.750 In, Tin-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-2 w/ 4-0.688 Holes 1.750x2.25 In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","",""
"005B0030WU","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","8.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","300 Amps","","6.625 in.","","","","","2.563 in.","7.875 in.","5.25 in.","4.188 in.","5.813 in.","","10000 ft.","6 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-0.5 OD - 13 x 1.125 In x 13un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-0.5 OD - 13 x 1.422, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","2.938 in.","Epoxy Coated Shield and Terminal Kit","(4) .438 dia holes, 4.75 dia. BC",""
"005B0100AD","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","1000 Amps","","9.406 in.","","","5 in.","","3.605 in.","10.562 in.","7.125 in.","4.5 in.","6.703 in.","","10000 ft.","21 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12x2.375 x","Min Outside Diameter","Bottom Terminal Comments","1.0-14 X 1.375 USABLE","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.906 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes on 7.000 Dia. BC",""
"005B0100VB","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","3.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","1000 Amps","","6.5 in.","","","3.25 in.","","3.063 in.","9.546 in.","5.125 in.","4.156 in.","5.906 in.","","10000 ft.","11 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.0-14x2.375 x 14un-2a","Min Outside Diameter","Bottom Terminal Comments","1.0-14x1.219","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.438 in.","Epoxy Coated Shield and Terminal Kit","(4) 0.438 holes, 5.25 dia BC",""
"005B0160RA","","","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Air to Air","vertical/horizontal","Bottom","1.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","1600 Amps","","11.5 in.","","","7.438 in.","","3.605 in.","10.428 in.","7.438 in.","4.462 in.","6.712 in.","","10000 ft.","26 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.875 x","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.5 OD - 12 x In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.268 in.","Epoxy Coated Shield and Terminal Kit","",""
"005B0171WJ","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","kV","75 kV","3.2 kV","","","pfds.","pfds.","","1710 Amps","","11.625 in.","","","6.875 in.","","4.12 in.","10.5 in.","5.875 in.","3.188 in.","7 in.","","3300 ft.","29 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12x3.375 x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","1.500-12x3.500","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","","Epoxy Coated Shield and Terminal Kit","",""
"005B0200WD","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","4.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2000 Amps","","25.438 in.","","","20 in.","","3.605 in.","10.937 in.","7.125 in.","4.453 in.","6.703 in.","","10000 ft.","43 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12x2.375 x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","1.5-12x2.25","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.394 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes on 7.000 Dia. BC",""
"005B0200WT","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","4.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2000 Amps","","10.438 in.","","","5 in.","","3.605 in.","10.937 in.","7.125 in.","4.453 in.","6.703 in.","","10000 ft.","26 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12x2.375 x","Min Outside Diameter","Bottom Terminal Comments","1.5-12x2.000","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.906 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes on 7.000 Dia. BC",""
"005B0228WF","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","","","RJ/LCRJ","","Oil to Air","vertical","","2.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2280 Amps","","25.438 in.","","","20 in.","","3.75 in.","10.562 in.","6.75 in.","4.5 in.","6.7 in.","","10000 ft.","51 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.75-12x2.375 Usable thread x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","1.75-12x2.375","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.875 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 7.000 BC",""
"005B0228WG","","","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2280 Amps","","10.438 in.","","","5 in.","","3.605 in.","10.562 in.","7.125 in.","4.453 in.","6.703 in.","","10000 ft.","32 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.75 OD - 12 x 2.375 x","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.75 OD - 12 x 2.304","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.394 in.","Epoxy Coated Shield and Terminal Kit","",""
"005B0228XA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ/LCRJ","","Oil to Air","vertical/horizontal","Bottom","1.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2280 Amps","","19.438 in.","","","14 in.","","3.605 in.","10.937 in.","7.125 in.","4.453 in.","6.703 in.","","10000 ft.","50 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.75 OD - 12 x 2.375 In x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.75 OD - 12 x In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.394 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 7.000 BC",""
"005B0290DC","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Air to Air","vertical/horizontal","Bottom","2.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2900 Amps","","8.75 in.","","","","","5.063 in.","9.563 in.","6.188 in.","4.25 in.","5.25 in.","","10000 ft.","34 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-2 OD - 12 x 3.375 In x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-2 OD - 12 x 2.18, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.438 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - on 7.375 Dia. BC",""
"005B0290WQ","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","3.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","2900 Amps","","7.75 in.","","","3.5 in.","","4.062 in.","9.312 in.","5.26 in.","4.156 in.","5.906 in.","","10000 ft.","28 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.0-12 x 2.375 x","Min Outside Diameter","Bottom Terminal Comments","2.0-12 x 2.25","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.438 in.","Epoxy Coated Shield and Terminal Kit","(4) .562 dia holes, 6.375 dia BC",""
"005B0330DA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","5.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","3300 Amps","","12.277 in.","","","7.5 in.","","4.378 in.","10.598 in.","7 in.","4.458 in.","6.707 in.","","10000 ft.","40 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.25-12x2.5 x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","2.25-12x2.750","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.500 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC",""
"005B0330DE","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","5.0","5 kV","75 kV","3.2 kV","","","0 pfds.","0 pfds.","","3300 Amps","","16.421 in.","","","11.613 in.","","4.378 in.","10.767 in.","7 in.","4.521 in.","6.783 in.","","10000 ft.","56 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.25 X 2.50 USABLE THREAD x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","2.25 X 2.75 USABLE THREAD","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.500 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC",""
"005B0330WE","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","6.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","3300 Amps","","25.902 in.","","","19.5 in.","","4.378 in.","10.598 in.","7 in.","4.458 in.","6.708 in.","","10000 ft.","75 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-2.25 OD - 12 x 2.375 In x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-2.25 OD - 12 x 3.000, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.127 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC","Horz. Mtg. minimum oil level = 1.75"""
"005B0400WH","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","4.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","4000 Amps","","26.5 in.","","","21 in.","","4.667 in.","11.594 in.","8.063 in.","4.25 in.","6.438 in.","","10000 ft.","117 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","3.0-12 x 3.125 x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","3.0-12 x 3.0","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.688 in.","Epoxy Coated Shield and Terminal Kit","(4) .562 Dia. Holes on 8.250 Dia. BC",""
"005B0400WL","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","3.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","4000 Amps","","18.5 in.","","","13 in.","","4.667 in.","11.312 in.","8.063 in.","4.53 in.","7.218 in.","","10000 ft.","95 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 3.500 In x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-3 OD - 12 x 3.000, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.688 in.","Epoxy Coated Shield and Terminal Kit","(4) .562 Dia. Holes - 8.250 Dia. BC",""
"005B0540WK","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Air to Air","vertical/horizontal","Bottom","2.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","5400 Amps","","10.125 in.","","","","","5.938 in.","9.656 in.","5.267 in.","4.031 in.","5.781 in.","","10000 ft.","44 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 2.875 x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-3 OD - 12 x 2.875, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","6.313 in.","Epoxy Coated Shield and Terminal Kit","(6)  .563 Dia. Holes - .938 C'BORE - 8.250 Dia. BC","AIR TO AIR"
"005B0540WM","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","5400 Amps","","8.25 in.","0 in.","","0 in.","","5.063 in.","9.875 in.","5.25 in.","4.156 in.","5.906 in.","","10000 ft.","37 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 2.875 In, Un-plated x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-3 OD - 12 x 2.875, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.438 in.","Epoxy Coated Shield and Terminal Kit","(6) .500 Holes - 7.375 Dia. BC","NONE"
"009B0171WN","","11B6122BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","","1710 Amps","","25 in.","18.375 in.","","18.375 in.","","4.12 in.","11.5 in.","8.419 in.","4.963 in.","6.714 in.","","8400 ft.","54 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.5-12X3.50 x","Min Outside Diameter","Bottom Terminal Comments","1.5-12x3.062","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.312 in.","Epoxy Coated Shield and Terminal Kit","(6) .625 Dia. Holes - 7.000 Dia. BC","2.25 INCHES MINIMUM OIL LEVEL FOR HORZ MTG"
"009B0200VK","","","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","","2000 Amps","","17.75 in.","","","10 in.","","3.605 in.","11.75 in.","7.125 in.","4.469 in.","6.719 in.","","10000 ft.","50 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.0-12 x 3.625 x","Min Outside Diameter","Bottom Terminal Comments","2.0-12 x 3.438","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.394 in.","Epoxy Coated Shield and Terminal Kit","",""
"009B0228WJ","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","","2280 Amps","","22 in.","15.375 in.","","15.375 in.","","4.12 in.","11.5 in.","8.419 in.","7.589 in.","6.714 in.","","10000 ft.","57 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.750-12x3.50 USABLE x","Min Outside Diameter","Bottom Terminal Comments","1.750-12UN-2A, 3.062 USABLE THD","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.312 in.","Epoxy Coated Shield and Terminal Kit","6 - .625 Holes on 7.0 B.C.","2.25 INCHES MINIMUM OIL LEVEL FOR HORZ MTG"
"009B0290WD","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","","IEEE","RJ/LCRJ","","Oil to Air","vertical/horizontal","","2.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","","2900 Amps","","8.5 in.","","","","","4.062 in.","10.312 in.","8.063 in.","5.156 in.","","","10000 ft.","33 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.0-12x2.375 x 12un-2a","Min Outside Diameter","Bottom Terminal Comments","2.0-12x2.25","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.438 in.","Epoxy Coated Shield and Terminal Kit","(4) .563 Dia. Holes - on 6.375 Dia. BC","Min. Oil level 2.25 in. above porcelain for horizontal mounting."
"009B0330WL","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","9 kV","95 kV","5.5 kV","","","pfds.","pfds.","","3300 Amps","","28.375 in.","","","20.375 in.","","4.378 in.","12.125 in.","7 in.","4.458 in.","6.708 in.","","10000 ft.","81 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.250-12 x 3.902, USABLE x","Min Outside Diameter","Bottom Terminal Comments","2.250-12UN-2A, 5.156 USABLE THREAD","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.125 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC","Horz. Mtg. minimum oil level = 2.25"""
"009B0330WM","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","9 kV","95 kV","5.5 kV","","","pfds.","pfds.","","3300 Amps","","23.375 in.","","","15.375 in.","","4.378 in.","12.125 in.","7 in.","4.458 in.","6.708 in.","","10000 ft.","72 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.25-12x3.900 x","Min Outside Diameter","Bottom Terminal Comments","2.25-12x3.156","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.125 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC","Min. oil level 2.500 in. above porcelain for horizontal mounting."
"009D0078WC","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","","780 Amps","","20 in.","","","15.312 in.","","4.12 in.","10.75 in.","12.938 in.","4.75 in.","2 in.","","8400 ft.","45 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.0-14x2.625 x 14UN-2A","Min Outside Diameter","Bottom Terminal Comments","1.0-14x1.094","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","","Epoxy Coated Shield and Terminal Kit","","Min. oil level 2.25 in. above porcelain for horizontal mounting."
"009J0040BK","","","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Draw Lead","1.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","400 Amps","","","13.26 in.","10 in.","","10 in.","","3.026 in.","15.829 in.","14 in.","7.875 in.","9.813 in.","12.125 in.","5000 ft.","20 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12UN-2A, 2.500 USABLE THD x","Min Outside Diameter","Bottom Terminal Comments","1.750 i.d. porcelain","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.5 in.","Epoxy Coated Shield and Terminal Kit","",""
"009J0060AJ","","W1B656BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical/horizontal","Draw Lead","1.0","8.7 kV","95 kV","5.5 kV","","","pfds.","pfds.","600 Amps","","","18.375 in.","","","17.75 in.","","3.09 in.","9 in.","8.25 in.","4.313 in.","5.75 in.","4.595 in.","5000 ft.","15 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.125 OD - 12 x 2.125 In x","Min Outside Diameter","Bottom Terminal Comments","DrLd-1.625 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.250 in.","Epoxy Coated Shield and Terminal Kit","(3)-.563 Holes-7.25 BC","Min. oil level 2.50 in. above porcelain for horizontal mounting."
